"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2012-04-21T09:08:18"	"1334999298"	"Dayvan Cowboy"	"0d337bb3-2c2e-424c-b172-640cb96d92a2"	"Boards of Canada"	"69158f97-4c07-4c4e-baf8-4e4ab1ed666e"	"Dayvan Cowboy"	"0d337bb3-2c2e-424c-b172-640cb96d92a2"	"Boards of Canada"	"69158f97-4c07-4c4e-baf8-4e4ab1ed666e"
"2012-04-21T10:58:13"	"1335005893"	"Telephasic Workshop"	"7e78ce0c-1e00-43e3-bd27-6c72ef6ed7d4"	"Boards of Canada"	"69158f97-4c07-4c4e-baf8-4e4ab1ed666e"	"Telephasic Workshop"	"7e78ce0c-1e00-43e3-bd27-6c72ef6ed7d4"	"Boards of Canada"	"69158f97-4c07-4c4e-baf8-4e4ab1ed666e"
"2012-05-06T08:48:52"	"1336294132"	"Talco Uno (feat. Jollymusic)"	""	"Prefuse 73"	"fc61dd75-880b-44ba-9ba9-c7b643d33413"	"Talco Uno (feat. Jollymusic)"	""	"Prefuse 73"	"fc61dd75-880b-44ba-9ba9-c7b643d33413"
"2012-05-07T17:14:21"	"1336410861"	"In the Waiting Line"	"b357af22-0fc3-433e-8209-9a946911a1c0"	"Zero 7"	"c23b637b-97c6-41eb-8ef6-6c724efc80a8"	"In the Waiting Line"	"b357af22-0fc3-433e-8209-9a946911a1c0"	"Zero 7"	"c23b637b-97c6-41eb-8ef6-6c724efc80a8"
"2012-07-06T06:33:20"	"1341556400"	"John Hughes - Got Me Lost (Driving in LA)  (Telefon Tel Aviv Remix)"	""	"Telefon Tel Aviv"	"453f1594-112e-4d3c-921a-8d14e9c97b2e"	"John Hughes - Got Me Lost (Driving in LA)  (Telefon Tel Aviv Remix)"	""	"Telefon Tel Aviv"	"453f1594-112e-4d3c-921a-8d14e9c97b2e"
"2012-08-02T03:22:38"	"1343877758"	"Clipper"	"37ce7c8d-0fab-42b8-962d-574132b316e9"	"Autechre"	"410c9baf-5469-44f6-9852-826524b80c61"	"Clipper"	"37ce7c8d-0fab-42b8-962d-574132b316e9"	"Autechre"	"410c9baf-5469-44f6-9852-826524b80c61"
"2012-08-04T18:21:39"	"1344104499"	"beaumonthannantwomx"	""	"Autechre"	"410c9baf-5469-44f6-9852-826524b80c61"	"beaumonthannantwomx"	""	"Autechre"	"410c9baf-5469-44f6-9852-826524b80c61"
"2012-08-08T11:26:46"	"1344425206"	"It's Fun To Smoke Dust (Queen vs. Satan)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"	"It's Fun To Smoke Dust (Queen vs. Satan)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"
"2012-10-15T05:59:08"	"1350280748"	"White Limo"	"685709f5-be90-4927-8267-65d2e31aa97d"	"Foo Fighters"	"67f66c07-6e61-4026-ade5-7e782fad3a5d"	"White Limo"	"685709f5-be90-4927-8267-65d2e31aa97d"	"Foo Fighters"	"67f66c07-6e61-4026-ade5-7e782fad3a5d"
"2012-10-24T15:00:51"	"1351090851"	"Party One / I'm So Crazy"	""	"Soulwax"	"68ec1b08-3c2e-40b3-b0af-8f323743fdff"	"Party One / I'm So Crazy"	""	"Soulwax"	"68ec1b08-3c2e-40b3-b0af-8f323743fdff"
"2012-10-31T02:32:53"	"1351650773"	"Bend Over"	"f611c94d-e6e8-48ba-97d9-dc22901a1c8a"	"Wagon Christ"	"991b8af4-328a-4441-8dc5-f7af0c89af08"	"Bend Over"	"f611c94d-e6e8-48ba-97d9-dc22901a1c8a"	"Wagon Christ"	"991b8af4-328a-4441-8dc5-f7af0c89af08"
"2012-10-31T02:46:10"	"1351651570"	"Plug Me In"	""	"Squarepusher"	"4d86ad4e-28d8-4e9f-8cf4-735c57060fdc"	"Plug Me In"	""	"Squarepusher"	"4d86ad4e-28d8-4e9f-8cf4-735c57060fdc"
"2012-11-12T21:54:57"	"1352757297"	"Shout 2000"	"192c82c6-cf19-4bc7-a999-4fe910050ad7"	"Disturbed"	"448579df-6b71-4c98-a8ba-5f8be40f2b90"	"Shout 2000"	"192c82c6-cf19-4bc7-a999-4fe910050ad7"	"Disturbed"	"448579df-6b71-4c98-a8ba-5f8be40f2b90"
"2015-03-01T18:30:49"	"1425234649"	"Kevin's"	"e7d42e89-d45b-4b4a-a75e-59ee072dffd5"	"Sharon Van Etten"	"5a2e9cd3-010a-4aae-9f83-629253284202"	"Kevin's"	"e7d42e89-d45b-4b4a-a75e-59ee072dffd5"	"Sharon Van Etten"	"5a2e9cd3-010a-4aae-9f83-629253284202"
"2015-03-01T18:30:54"	"1425234654"	"Kevin's"	"e7d42e89-d45b-4b4a-a75e-59ee072dffd5"	"Sharon Van Etten"	"5a2e9cd3-010a-4aae-9f83-629253284202"	"Kevin's"	"e7d42e89-d45b-4b4a-a75e-59ee072dffd5"	"Sharon Van Etten"	"5a2e9cd3-010a-4aae-9f83-629253284202"
